,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO,score,USG_
150,Jonathon Simmons,SG/SF,ORL,71,26,-0.329442121,-0.090778282,-0.42021134,-0.443811653,-0.875438203,-0.464759325,-0.430520424,-0.691352791,0.154277894,-1.695803129,16
151,Serge Ibaka,PF/C,TOR,75,27,0.0335795,0.514410263,0.041559363,-0.364999373,0.213314974,-1.07594967,-1.598033438,1.403655666,0.677253805,-1.80575905,21.7
152,OG Anunoby,SF/PF,TOR,78,27,0.215090311,-1.543230789,0.272444715,-0.877279194,-0.754465628,-0.974084613,0.153236083,-0.691352791,1.069485738,-1.89942806,12.8
153,Wilson Chandler,SG/SF,PHI,72,26,-0.510952932,-0.211815991,-0.073883312,-0.837873054,-0.230251135,-0.617556911,-1.014276931,-0.481851945,0.807997783,-1.947408416,NA
154,Derrick White,PG,SAS,72,26,0.759622743,-0.574929118,-0.304768664,-0.680248493,-0.189926943,-0.66848944,-0.430520424,-0.062850254,0.677253805,-1.981702334,20.5
155,Jaylen Brown,SG/SF,BOS,75,29,0.0335795,-1.301155371,0.157002039,-0.010344112,-0.270575327,-0.719421969,-0.13864217,-0.481851945,0.023533916,-1.989027668,23
156,Rajon Rondo,PG,LAL,66,26,-0.510952932,-2.511532461,-0.651096691,-1.133419104,-0.391547902,2.285597229,0.73699259,-1.110354482,-0.891673928,-2.165132366,11.4
157,James Johnson,SF/PF,MIA,72,27,0.578111932,-1.059079953,-0.42021134,-0.640842353,-0.068954368,0.299228607,-0.13864217,0.775153129,-0.368698017,-2.328245227,NA
158,Thaddeus Young,SF/PF,IND,75,29,0.396601121,-2.511532461,-0.766539367,-0.759060774,0.253639166,-0.719421969,1.612627351,-0.481851945,0.677253805,-2.466673415,17.8
159,Maurice Harkless,,POR,73,25,0.578111932,-1.180117662,-0.42021134,-1.015200684,-0.673817244,-0.974084613,-0.13864217,0.565652283,1.200229716,-2.528026753,NA
160,Brook Lopez,C,MIL,72,22,-0.147931311,-0.453891409,0.041559363,-0.424108583,-0.714141436,-0.719421969,-1.598033438,1.19415482,0.415765849,-2.738130186,18.1
161,Dewayne Dedmon,C,ATL,65,24,1.848687607,-0.211815991,-0.651096691,-0.916685334,1.060123001,-0.923152084,-0.722398677,0.775153129,0.677253805,-2.747894972,NA
162,Trey Lyles,PF,DEN,74,21,0.0335795,-0.695966827,-0.189325988,-0.601436213,-0.189926943,-0.821287027,-1.306155184,-0.481851945,0.807997783,-2.806173456,19.6
163,John Collins,PF/C,ATL,77,28,2.030198417,-0.3328537,-1.343752745,-0.069453322,1.26174396,-0.719421969,-0.430520424,0.984653974,0.023533916,-2.872468244,24.4
164,Andre Iguodala,SG/SF,GSW,65,24,0.215090311,-1.301155371,-0.881982042,-1.566886645,-0.754465628,0.044565963,-0.13864217,-0.272351099,0.93874176,-2.905358506,NA
165,Andre Drummond,PF/C,DET,79,33,1.122644364,-2.148419334,-1.574638097,0.285201939,4.407030918,-0.26102921,1.612627351,1.822657357,-0.891673928,-2.97793128,29.9
166,Enes Kanter,C,NYK,72,26,2.030198417,0.635447972,-1.459195421,0.048765098,2.068227795,-0.821287027,-1.306155184,-0.062850254,-0.107210062,-3.009634623,22.6
167,Julius Randle,PF/C,NOR,77,28,1.304155175,-0.574929118,-1.343752745,0.501935709,1.342392344,-0.057299095,-0.722398677,-0.272351099,-0.891673928,-3.088117854,26.7
168,Willie Cauley-Stein,PF/C,SAC,74,27,0.941133553,-1.543230789,-1.574638097,-0.266484022,0.495584317,-0.311961739,0.153236083,0.356151438,0.415765849,-3.127312715,21.7
169,JaMychal Green,PF/C,MEM,64,26,0.215090311,-0.211815991,-0.766539367,-0.995497614,0.858502043,-0.872219555,-1.014276931,-0.272351099,0.677253805,-3.183095653,17.4
170,Jaren Jackson Jr,PF,MEM,72,26,-0.329442121,-0.211815991,-0.651096691,-0.818169984,0.172990783,-0.872219555,-0.722398677,3.079662431,0.023533916,-3.252166982,NA
171,Jonas Valanciunas,C,TOR,77,24,1.667176796,0.393372554,-1.343752745,-0.049750252,1.382716535,-1.07594967,-1.598033438,0.565652283,0.415765849,-3.258347702,25.4
172,Pau Gasol,PF/C,SAS,72,25,-0.329442121,-0.574929118,-0.881982042,-0.739357703,1.060123001,-0.057299095,-1.598033438,0.984653974,0.546509827,-3.305091569,15.8
173,Pascal Siakam,PF,TOR,78,22,0.759622743,-1.180117662,-1.112867394,-1.231934455,-0.270575327,-0.617556911,-0.430520424,0.146650592,1.069485738,-3.503511108,22.8
174,Taj Gibson,PF/C,MIN,79,32,1.304155175,-0.453891409,-1.459195421,-0.601436213,0.697205276,-0.872219555,-1.014276931,0.356151438,0.807997783,-3.593021746,15.1
175,Derrick Favors,PF/C,UTA,70,28,1.122644364,-1.543230789,-1.343752745,-0.345296303,0.697205276,-0.821287027,-0.13864217,0.775153129,0.546509827,-3.645699207,15.3
176,Jarrett Allen,PF/C,BKN,74,26,2.393220039,0.393372554,-1.459195421,-0.404405513,0.737529467,-1.025017142,-1.306155184,1.613156511,0.154277894,-3.647122812,19.8
