,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO
86,Rudy Gay,SF/PF,SAS,60,28,-0.147931311,0.151297136,-0.535654015,-0.010344112,0.253639166,-0.617556911,0.445114337,0.146650592,0.154277894
87,Jusuf Nurkic,C,POR,73,27.5,0.578111932,-1.664268498,-1.574638097,0.285201939,1.624661686,-0.413826796,-0.13864217,1.613156511,-1.153161884
88,Goran Dragic,PG/SG,MIA,74,32,-0.147931311,0.030259427,0.503330066,0.521638779,-0.673817244,0.859486423,-0.13864217,-0.900853636,-0.760929951
89,D'Angelo Russell,PG/SG,BKN,65,29.5,-1.055485364,-0.211815991,0.965100769,0.8368879,-0.472196286,1.41974424,0.73699259,-0.481851945,-2.199113706
90,Kyle Anderson,SG/SF,MEM,73,27.5,0.578111932,-0.574929118,-1.112867394,-1.172825245,0.052018207,-0.057299095,1.612627351,0.356151438,0.546509827
91,James Johnson,SF/PF,MIA,72,27,0.578111932,-1.059079953,-0.42021134,-0.640842353,-0.068954368,0.299228607,-0.13864217,0.775153129,-0.368698017
92,Buddy Hield,SG,SAC,80,27,-0.510952932,1.119598808,1.311428796,0.166983519,-0.472196286,-0.464759325,0.73699259,-0.900853636,0.285021872
93,Tyreke Evans,PG/SG,IND,52,27,-0.510952932,-0.090778282,0.503330066,0.304905009,-0.35122371,0.757621366,0.153236083,-0.691352791,-0.499441995
94,Tim Hardaway Jr,SG/SF,NYK,66,32,-0.692463743,0.514410263,1.311428796,0.501935709,-0.79478982,-0.26102921,0.153236083,-0.900853636,0.415765849
95,Jeremy Lin,PG/SG,ATL,60,24.5,-0.873974553,0.514410263,0.157002039,-0.030047182,-0.754465628,1.012284009,0.153236083,-0.272351099,-0.630185973
96,Jordan Bell,PF/C,GSW,70,20,2.57473085,-0.817004536,-1.574638097,-1.448668225,-0.028630176,-0.210096681,-0.430520424,1.403655666,0.546509827
97,DeAndre Ayton,C,PHO,72,29.5,0.759622743,-0.695966827,-1.343752745,-0.305890162,1.302068152,-0.770354498,-0.722398677,0.984653974,0.154277894
98,Serge Ibaka,PF/C,TOR,75,27,0.0335795,0.514410263,0.041559363,-0.364999373,0.213314974,-1.07594967,-1.598033438,1.403655666,0.677253805
99,Malcolm Brogdon,PG/SG,MIL,72,28,0.215090311,1.240636517,-0.073883312,-0.463514723,-0.956086587,0.299228607,0.153236083,-0.900853636,0.285021872
100,Jeremy Lamb,SG/SF,CHA,74,26,-0.147931311,0.756485681,0.041559363,-0.049750252,-0.310899518,-0.413826796,-0.430520424,-0.272351099,0.807997783
101,Allen Crabbe,SG/SF,BKN,75,29.5,-0.692463743,0.998561099,1.657756823,-0.069453322,-0.552844669,-0.770354498,-0.722398677,-0.481851945,0.93874176
102,Kent Bazemore,SG/SF,ATL,67,27,-1.055485364,0.030259427,0.272444715,-0.364999373,-0.633493053,0.14643102,1.028870844,-0.062850254,-0.23795404
103,Kelly Olynyk,PF/C,MIA,72,24,0.215090311,0.030259427,0.041559363,-0.562030073,0.052018207,-0.311961739,-0.430520424,-0.272351099,-0.23795404
104,J.J. Redick,SG,PHI,73,27.5,-0.329442121,1.482711935,1.311428796,0.107874309,-1.278680121,-0.210096681,-1.014276931,-1.110354482,0.677253805
105,Pau Gasol,PF/C,SAS,72,25,-0.329442121,-0.574929118,-0.881982042,-0.739357703,1.060123001,-0.057299095,-1.598033438,0.984653974,0.546509827
106,Derrick Favors,PF/C,UTA,70,28,1.122644364,-1.543230789,-1.343752745,-0.345296303,0.697205276,-0.821287027,-0.13864217,0.775153129,0.546509827
107,Taj Gibson,PF/C,MIN,79,32,1.304155175,-0.453891409,-1.459195421,-0.601436213,0.697205276,-0.872219555,-1.014276931,0.356151438,0.807997783
108,Darren Collison,PG/SG,IND,70,25,0.215090311,1.119598808,-0.304768664,-0.680248493,-1.359328504,0.604823779,0.153236083,-1.110354482,0.677253805
109,JaVale McGee,C,LAL,68,18,2.57473085,-2.027381625,-1.574638097,-0.877279194,-0.028630176,-1.177814728,-1.306155184,1.613156511,1.069485738
110,Wendell Carter Jr.,C,CHI,72,26,0.215090311,-0.695966827,-1.112867394,-0.798466914,0.737529467,-0.566624383,-0.722398677,1.19415482,0.154277894
111,Willie Cauley-Stein,PF/C,SAC,74,27,0.941133553,-1.543230789,-1.574638097,-0.266484022,0.495584317,-0.311961739,0.153236083,0.356151438,0.415765849
112,Danilo Gallinari,SF/PF,LAC,58,27,-0.873974553,1.361674226,0.272444715,-0.148265602,-0.512520477,-0.66848944,-1.306155184,-0.691352791,1.069485738
113,Dennis Schroder,PG,OKC,72,25,-0.510952932,0.87752339,-0.189325988,0.364014219,-1.198031737,1.114149067,-0.430520424,-1.110354482,-0.891673928
114,Eric Gordon,SG,HOU,68,31,-1.055485364,0.514410263,2.119527526,0.423123429,-1.198031737,-0.413826796,-1.014276931,-0.481851945,0.154277894
115,Reggie Jackson,PG/SG,DET,60,28,-0.873974553,0.87752339,0.041559363,0.403420359,-1.03673497,1.368811711,-0.722398677,-1.110354482,-0.891673928
116,Markieff Morris,PF/C,WAS,72,27,-0.147931311,0.514410263,-0.42021134,-0.562030073,0.092342399,-0.617556911,-0.13864217,-0.062850254,0.023533916
117,Kentavious Caldwell-Pope,SG/SF,LAL,75,30,-0.873974553,0.514410263,0.734215417,-0.108859462,-0.593168861,-0.413826796,0.73699259,-0.900853636,0.677253805
118,Domantas Sabonis,PF/C,IND,75,25,0.759622743,-0.3328537,-1.343752745,-0.266484022,1.060123001,-0.515691854,-1.014276931,-0.272351099,-0.23795404
119,Rajon Rondo,PG,LAL,66,26,-0.510952932,-2.511532461,-0.651096691,-1.133419104,-0.391547902,2.285597229,0.73699259,-1.110354482,-0.891673928
120,Thaddeus Young,SF/PF,IND,75,29,0.396601121,-2.511532461,-0.766539367,-0.759060774,0.253639166,-0.719421969,1.612627351,-0.481851945,0.677253805
121,Elfrid Payton,PG,NOR,70,30,-0.510952932,-1.180117662,-0.881982042,-0.266484022,-0.149602751,1.776271941,0.445114337,-0.481851945,-1.41464984
122,Dirk Nowitzki,PF/C,DAL,72,24,-0.329442121,1.361674226,0.157002039,-0.640842353,0.011694016,-0.872219555,-1.306155184,-0.062850254,1.461717672
123,Brandon Ingram,SG/SF,LAL,74,33.5,0.0335795,-1.180117662,-0.535654015,0.6398572,-0.10927856,0.604823779,-0.430520424,-0.062850254,-0.630185973
124,Montrezl Harrell,PF/C,LAC,70,21,2.937752471,-1.664268498,-1.574638097,-0.266484022,-0.391547902,-0.872219555,-1.306155184,0.565652283,0.93874176
